county,candidate,votes,district,party,office
Adams,Jim Petro,4562,,R,Attorney General
Adams,Leigh Herington,2139,,D,Attorney General
Allen,Jim Petro,21330,,R,Attorney General
Allen,Leigh Herington,8070,,D,Attorney General
Ashland,Jim Petro,10726,,R,Attorney General
Ashland,Leigh Herington,4056,,D,Attorney General
Ashtabula,Jim Petro,15850,,R,Attorney General
Ashtabula,Leigh Herington,10731,,D,Attorney General
Athens,Leigh Herington,7964,,D,Attorney General
Athens,Jim Petro,7880,,R,Attorney General
Auglaize,Jim Petro,10186,,R,Attorney General
Auglaize,Leigh Herington,3086,,D,Attorney General
Belmont,Leigh Herington,10382,,D,Attorney General
Belmont,Jim Petro,9698,,R,Attorney General
Brown,Jim Petro,7583,,R,Attorney General
Brown,Leigh Herington,3607,,D,Attorney General
Butler,Jim Petro,61322,,R,Attorney General
Butler,Leigh Herington,23240,,D,Attorney General
Carroll,Jim Petro,5454,,R,Attorney General
Carroll,Leigh Herington,3080,,D,Attorney General
Champaign,Jim Petro,7724,,R,Attorney General
Champaign,Leigh Herington,2805,,D,Attorney General
Clark,Jim Petro,24495,,R,Attorney General
Clark,Leigh Herington,13480,,D,Attorney General
Clermont,Jim Petro,31132,,R,Attorney General
Clermont,Leigh Herington,10823,,D,Attorney General
Clinton,Jim Petro,7724,,R,Attorney General
Clinton,Leigh Herington,2456,,D,Attorney General
Columbiana,Jim Petro,18805,,R,Attorney General
Columbiana,Leigh Herington,11360,,D,Attorney General
Coshocton,Jim Petro,6750,,R,Attorney General
Coshocton,Leigh Herington,3343,,D,Attorney General
Crawford,Jim Petro,9273,,R,Attorney General
Crawford,Leigh Herington,3755,,D,Attorney General
Cuyahoga,Jim Petro,193774,,R,Attorney General
Cuyahoga,Leigh Herington,167782,,D,Attorney General
Darke,Jim Petro,12998,,R,Attorney General
Darke,Leigh Herington,4093,,D,Attorney General
Defiance,Jim Petro,7068,,R,Attorney General
Defiance,Leigh Herington,3485,,D,Attorney General
Delaware,Jim Petro,30447,,R,Attorney General
Delaware,Leigh Herington,8316,,D,Attorney General
Erie,Jim Petro,14598,,R,Attorney General
Erie,Leigh Herington,9671,,D,Attorney General
Fairfield,Jim Petro,29125,,R,Attorney General
Fairfield,Leigh Herington,9346,,D,Attorney General
Fayette,Jim Petro,4924,,R,Attorney General
Fayette,Leigh Herington,1528,,D,Attorney General
Franklin,Jim Petro,172230,,R,Attorney General
Franklin,Leigh Herington,98721,,D,Attorney General
Fulton,Jim Petro,9719,,R,Attorney General
Fulton,Leigh Herington,3020,,D,Attorney General
Gallia,Jim Petro,5862,,R,Attorney General
Gallia,Leigh Herington,3059,,D,Attorney General
Geauga,Jim Petro,22563,,R,Attorney General
Geauga,Leigh Herington,8382,,D,Attorney General
Greene,Jim Petro,30696,,R,Attorney General
Greene,Leigh Herington,11517,,D,Attorney General
Guernsey,Jim Petro,6875,,R,Attorney General
Guernsey,Leigh Herington,3756,,D,Attorney General
Hamilton,Jim Petro,152681,,R,Attorney General
Hamilton,Leigh Herington,84064,,D,Attorney General
Hancock,Jim Petro,16126,,R,Attorney General
Hancock,Leigh Herington,4111,,D,Attorney General
Hardin,Jim Petro,5586,,R,Attorney General
Hardin,Leigh Herington,2585,,D,Attorney General
Harrison,Jim Petro,3050,,R,Attorney General
Harrison,Leigh Herington,2517,,D,Attorney General
Henry,Jim Petro,6903,,R,Attorney General
Henry,Leigh Herington,2051,,D,Attorney General
Highland,Jim Petro,7772,,R,Attorney General
Highland,Leigh Herington,3093,,D,Attorney General
Hocking,Jim Petro,4644,,R,Attorney General
Hocking,Leigh Herington,2823,,D,Attorney General
Holmes,Jim Petro,4680,,R,Attorney General
Holmes,Leigh Herington,1279,,D,Attorney General
Huron,Jim Petro,10425,,R,Attorney General
Huron,Leigh Herington,4349,,D,Attorney General
Jackson,Jim Petro,5696,,R,Attorney General
Jackson,Leigh Herington,2961,,D,Attorney General
