county,candidate,party,office,district,votes,pct
Adams,George Bush,R,President,,6380,
Adams,Al Gore,D,President,,3581,
Adams,Ralph Nader,,President,,162,
Adams,Pat Buchanan,,President,,63,
Adams,Harry Browne,L,President,,20,
Adams,John Hagelin,N,President,,16,
Adams,Howard Phillips,,President,,13,
Adams,James Harris,,President,,0,
Allen,George Bush,R,President,,28647,
Allen,Al Gore,D,President,,13996,
Allen,Ralph Nader,,President,,760,
Allen,Pat Buchanan,,President,,193,
Allen,Harry Browne,L,President,,134,
Allen,John Hagelin,N,President,,45,
Allen,Howard Phillips,,President,,20,
Allen,James Harris,,President,,0,
Ashland,George Bush,R,President,,13533,
Ashland,Al Gore,D,President,,6685,
Ashland,Ralph Nader,,President,,563,
Ashland,Pat Buchanan,,President,,374,
Ashland,Harry Browne,L,President,,63,
Ashland,Howard Phillips,,President,,23,
Ashland,John Hagelin,N,President,,17,
Ashland,James Harris,,President,,0,
Ashtabula,Al Gore,D,President,,19831,
Ashtabula,George Bush,R,President,,17940,
Ashtabula,Ralph Nader,,President,,1109,
Ashtabula,Pat Buchanan,,President,,338,
Ashtabula,Harry Browne,L,President,,141,
Ashtabula,John Hagelin,N,President,,62,
Ashtabula,Howard Phillips,,President,,51,
Ashtabula,James Harris,,President,,0,
Athens,Al Gore,D,President,,13158,
Athens,George Bush,R,President,,9703,
Athens,Ralph Nader,,President,,1663,
Athens,Pat Buchanan,,President,,743,
Athens,Harry Browne,L,President,,123,
Athens,John Hagelin,N,President,,31,
Athens,Howard Phillips,,President,,26,
Athens,James Harris,,President,,0,
Auglaize,George Bush,R,President,,13770,
Auglaize,Al Gore,D,President,,5564,
Auglaize,Ralph Nader,,President,,372,
Auglaize,Pat Buchanan,,President,,104,
Auglaize,Harry Browne,L,President,,43,
Auglaize,John Hagelin,N,President,,20,
Auglaize,Howard Phillips,,President,,19,
Auglaize,James Harris,,President,,0,
Belmont,Al Gore,D,President,,15980,
Belmont,George Bush,R,President,,12625,
Belmont,Ralph Nader,,President,,723,
Belmont,Pat Buchanan,,President,,657,
Belmont,Harry Browne,L,President,,91,
Belmont,John Hagelin,N,President,,33,
Belmont,Howard Phillips,,President,,32,
Belmont,James Harris,,President,,0,
Brown,George Bush,R,President,,10027,
Brown,Al Gore,D,President,,5972,
Brown,Ralph Nader,,President,,269,
Brown,Pat Buchanan,,President,,83,
Brown,Harry Browne,L,President,,49,
Brown,John Hagelin,N,President,,16,
Brown,Howard Phillips,,President,,13,
Brown,James Harris,,President,,0,
Butler,George Bush,R,President,,86587,
Butler,Al Gore,D,President,,46390,
Butler,Ralph Nader,,President,,2708,
Butler,Pat Buchanan,,President,,431,
Butler,Harry Browne,L,President,,427,
Butler,John Hagelin,N,President,,104,
Butler,Howard Phillips,,President,,90,
Butler,James Harris,,President,,0,
Carroll,George Bush,R,President,,6732,
Carroll,Al Gore,D,President,,4960,
Carroll,Ralph Nader,,President,,271,
Carroll,Pat Buchanan,,President,,207,
Carroll,Harry Browne,L,President,,39,
Carroll,John Hagelin,N,President,,31,
Carroll,Howard Phillips,,President,,21,
Carroll,James Harris,,President,,0,
Champaign,George Bush,R,President,,9220,
Champaign,Al Gore,D,President,,5955,
Champaign,Ralph Nader,,President,,346,
Champaign,Pat Buchanan,,President,,80,
Champaign,Harry Browne,L,President,,43,
Champaign,John Hagelin,N,President,,24,
Champaign,Howard Phillips,,President,,12,
Champaign,James Harris,,President,,0,
Clark,Al Gore,D,President,,27984,
