Office ,District,Party,Candidate Name,Data Column Name
President/Vice President,,D,"Kerry, John F.",D_PRES
President/Vice President,,R,"Bush, George W.",R_PRES
President/Vice President,,Other,"Badnarik, Michael ",I1_PRES
President/Vice President,,Other,"Peroutka, Michael Anthony",I2_PRES
U.S. Senate,,D,"Fingerhut, Eric D.",D_USSEN
U.S. Senate,,R,"Voinovich, George V.",R_USSEN
U.S. Representative,1,D,"Harris, Greg ",D_CONG
U.S. Representative,1,R,"Chabot, Steve ",R_CONG
U.S. Representative,2,D,"Sanders, Charles W.",D_CONG
U.S. Representative,2,R,"Portman, Rob ",R_CONG
U.S. Representative,3,D,"Mitakides, Jane ",D_CONG
U.S. Representative,3,R,"Turner, Mike ",R_CONG
U.S. Representative,4,D,"Konop, Ben ",D_CONG
U.S. Representative,4,R,"Oxley, Michael G.",R_CONG
U.S. Representative,5,D,"Weirauch, Robin ",D_CONG
U.S. Representative,5,R,"Gillmor, Paul E.",R_CONG
U.S. Representative,6,D,"Strickland, Ted ",D_CONG
U.S. Representative,7,D,"Anastasio, Kara ",D_CONG
U.S. Representative,7,R,"Hobson, Dave ",R_CONG
U.S. Representative,8,D,"Hardenbrook, Jeff ",D_CONG
U.S. Representative,8,R,"Boehner, John A.",R_CONG
U.S. Representative,9,D,"Kaptur, Marcy ",D_CONG
U.S. Representative,9,R,"Kaczala, Larry A.",R_CONG
U.S. Representative,10,D,"Kucinich, Dennis J.",D_CONG
U.S. Representative,10,R,"Herman, Edward Fitzpatrick",R_CONG
U.S. Representative,10,,"Ferris, Barbara Anne",I1_CONG
U.S. Representative,11,D,"Tubbs Jones, Stephanie ",D_CONG
U.S. Representative,12,D,"Brown, Edward S.",D_CONG
U.S. Representative,12,R,"Tiberi, Pat ",R_CONG
U.S. Representative,13,D,"Brown, Sherrod ",D_CONG
U.S. Representative,13,R,"Lucas, Robert ",R_CONG
U.S. Representative,14,D,"Cafaro, Capri S.",D_CONG
U.S. Representative,14,R,"Latourette, Steven C.",R_CONG
U.S. Representative,15,D,"Brown, Mark P.",D_CONG
U.S. Representative,15,R,"Pryce, Deborah ",R_CONG
U.S. Representative,16,D,"Seemann, Jeff ",D_CONG
U.S. Representative,16,R,"Regula, Ralph ",R_CONG
U.S. Representative,17,D,"Ryan, Tim ",D_CONG
U.S. Representative,17,R,"Cusimano, Frank V.",R_CONG
U.S. Representative,18,D,"Thomas, Brian R.",D_CONG
U.S. Representative,18,R,"Ney, Bob ",R_CONG
State Senate,2,D,"Nickens, Nathan ",D_STSEN
State Senate,2,R,"Gardner, Randy ",R_STSEN
State Senate,4,D,"Smith, Melvin A.",D_STSEN
State Senate,4,R,"Cates, Gary ",R_STSEN
State Senate,6,D,"Stanton, Jason A.",D_STSEN
State Senate,6,R,"Jacobson, Jeff ",R_STSEN
State Senate,8,D,"Harrison, Jeannette ",D_STSEN
State Senate,8,R,"Clancy, Patricia M.",R_STSEN
State Senate,10,D,"Hart, Charles E.",D_STSEN
State Senate,10,R,"Austria, Steve ",R_STSEN
State Senate,12,R,"Jordan, Jim ",R_STSEN
State Senate,12,,"Kaffenberger, Sr. Jack ",I1_STSEN
State Senate,14,D,"Schwietering, Paul ",D_STSEN
